даведнік:назва вобласці	даведнік:назва раёну	osm:relationID	osm:назва вобласці	osm:назва раёну
		59065		
Брэсцкая		59189	Брэсцкая вобласць	
Брэсцкая	Баранавіцкі	71116		Баранавіцкі раён
Брэсцкая	Брэсцкі	59188		Брэсцкі раён
Брэсцкая	Бярозаўскі	71107		Бярозаўскі раён
Брэсцкая	Ганцавіцкі	71121		Ганцавіцкі раён
Брэсцкая	Драгічынскі	71105		Драгічынскі раён
Брэсцкая	Жабінкаўскі	71099		Жабінкаўскі раён
Брэсцкая	Іванаўскі	71118		Іванаўскі раён
Брэсцкая	Івацэвіцкі	71112		Івацэвіцкі раён
Брэсцкая	Камянецкі	71097		Камянецкі раён
Брэсцкая	Кобрынскі	71101		Кобрынскі раён
Брэсцкая	Лунінецкі	71124		Лунінецкі раён
Брэсцкая	Ляхавіцкі	71117		Ляхавіцкі раён
Брэсцкая	Маларыцкі	71100		Маларыцкі раён
Брэсцкая	Пінскі	71119		Пінскі раён
Брэсцкая	Пружанскі	71094		Пружанскі раён
Брэсцкая	Столінскі	71125		Столінскі раён
Віцебская		59506	Віцебская вобласць	
Віцебская	Аршанскі	70660		Аршанскі раён
Віцебская	Бешанковіцкі	70668		Бешанковіцкі раён
Віцебская	Браслаўскі	70691		Браслаўскі раён
Віцебская	Верхнядзвінскі	70684		Верхнядзвінскі раён
Віцебская	Віцебскі	59504		Віцебскі раён
Віцебская	Гарадоцкі	70676		Гарадоцкі раён
Віцебская	Глыбоцкі	70703		Глыбоцкі раён
Віцебская	Докшыцкі	70716		Докшыцкі раён
Віцебская	Дубровенскі	70656		Дубровенскі раён
Віцебская	Лёзненскі	70665		Лёзненскі раён
Віцебская	Лепельскі	70679		Лепельскі раён
Віцебская	Мёрскі	70690		Міёрскі раён*
Віцебская	Пастаўскі	70707		Пастаўскі раён
Віцебская	Полацкі	70671		Полацкі раён
Віцебская	Расонскі	70680		Расонскі раён
Віцебская	Сенненскі	70662		Сенненскі раён
Віцебская	Талачынскі	70649		Талачынскі раён
Віцебская	Ушацкі	70669		Ушацкі раён
Віцебская	Чашніцкі	70746		Чашніцкі раён
Віцебская	Шаркаўшчынскі	70701		Шаркоўшчынскі раён*
Віцебская	Шумілінскі	70677		Шумілінскі раён
Гомельская		59161	Гомельская вобласць	
Гомельская	Акцябрскі	59755		Акцябрскі раён
Гомельская	Брагінскі	70801		Брагінскі раён
Гомельская	Буда-Кашалёўскі	59175		Буда-Кашалёўскі раён
Гомельская	Веткаўскі	70795		Веткаўскі раён
Гомельская	Гомельскі	1469691		Гомельскі раён
Гомельская	Добрушскі	59092		Добрушскі раён
Гомельская	Ельскі	70810		Ельскі раён
Гомельская	Жлобінскі	59167		Жлобінскі раён
Гомельская	Жыткавіцкі	71149		Жыткавіцкі раён
Гомельская	Калінкавіцкі	70814		Калінкавіцкі раён
Гомельская	Кармянскі	59149		Кармянскі раён
Гомельская	Лельчыцкі	71147		Лельчыцкі раён
Гомельская	Лоеўскі	70799		Лоеўскі раён
Гомельская	Мазырскі	70815		Мазырскі раён
Гомельская	Нараўлянскі	70809		Нараўлянскі раён
Гомельская	Петрыкаўскі	71145		Петрыкаўскі раён
Гомельская	Рагачоўскі	59174		Рагачоўскі раён
Гомельская	Рэчыцкі	70812		Рэчыцкі раён
Гомельская	Светлагорскі	59137		Светлагорскі раён
Гомельская	Хойніцкі	70802		Хойніцкі раён
Гомельская	Чачэрскі	59178		Чачэрскі раён
Гродзенская		59275	Гродзенская вобласць	
Гродзенская	Астравецкі	70721		Астравецкі раён
Гродзенская	Ашмянскі	70728		Ашмянскі раён
Гродзенская	Бераставіцкі	70790		Бераставіцкі раён
Гродзенская	Ваўкавыскі	70771		Ваўкавыскі раён
Гродзенская	Воранаўскі	70737		Воранаўскі раён
Гродзенская	Гродзенскі	59273		Гродзенскі раён
Гродзенская	Дзятлаўскі	70768		Дзятлаўскі раён
Гродзенская	Зэльвенскі	70772		Зэльвенскі раён
Гродзенская	Іўеўскі	70732		Іўеўскі раён
Гродзенская	Карэліцкі	70751		Карэліцкі раён
Гродзенская	Лідскі	70747		Лідскі раён
Гродзенская	Мастоўскі	70754		Мастоўскі раён
Гродзенская	Навагрудскі	70749		Навагрудскі раён
Гродзенская	Свіслацкі	71093		Свіслацкі раён
Гродзенская	Слонімскі	71114		Слонімскі раён
Гродзенская	Смаргонскі	70725		Смаргонскі раён
Гродзенская	Шчучынскі	70748		Шчучынскі раён
Магілёўская		59162	Магілёўская вобласць	
Магілёўская	Асіповіцкі	59753		Асіповіцкі раён
Магілёўская	Бабруйскі	59148		Бабруйскі раён
Магілёўская	Быхаўскі	70586		Быхаўскі раён
Магілёўская	Бялыніцкі	70637		Бялыніцкі раён
Магілёўская	Глускі	71138		Глускі раён
Магілёўская	Горацкі	70620		Горацкi раён*
Магілёўская	Дрыбінскі	70618		Дрыбінскі раён
Магілёўская	Касцюковіцкі	70604		Касцюковіцкі раён
Магілёўская	Кіраўскі	70580		Кіраўскі раён
Магілёўская	Клімавіцкі	70610		Клімавіцкі раён
Магілёўская	Клічаўскі	70577		Клічаўскі раён
Магілёўская	Краснапольскі	70602		Краснапольскі раён
Магілёўская	Круглянскі	70638		Круглянскі раён
Магілёўская	Крычаўскі	70614		Крычаўскі раён
Магілёўская	Магілёўскі	62147		Магілёўскі раён
Магілёўская	Мсціслаўскі	70616		Мсціслаўскі раён
Магілёўская	Слаўгарадскі	70589		Слаўгарадскі раён
Магілёўская	Хоцімскі	70605		Хоцімскі раён
Магілёўская	Чавускі	70591		Чавускі раён
Магілёўская	Чэрыкаўскі	70595		Чэрыкаўскі раён
Магілёўская	Шклоўскі	70626		Шклоўскі раён
Мінская		59752	Мінская вобласць	
Мінская	Барысаўскі	70569		Барысаўскі раён
Мінская	Бярэзінскі	70575		Бярэзінскі раён
Мінская	Валожынскі	70565		Валожынскі раён
Мінская	Вілейскі	70568		Вілейскі раён
Мінская	Дзяржынскі	70563		Дзяржынскі раён
Мінская	Капыльскі	71132		Копыльскі раён*
Мінская	Клецкі	71130		Клецкі раён
Мінская	Крупскі	70639		Крупскі раён
Мінская	Лагойскі	70542		Лагойскі раён
Мінская	Любанскі	71140		Любанскі раён
Мінская	Маладзечанскі	70566		Маладзечанскі раён
Мінская	Мінскі	59190		Мінскі раён
Мінская	Мядзельскі	70719		Мядзельскі раён
Мінская	Нясвіжскі	71128		Нясвіжскі раён
Мінская	Пухавіцкі	70549		Пухавіцкі раён
Мінская	Салігорскі	71133		Салігорскі раён
Мінская	Слуцкі	71134		Слуцкі раён
Мінская	Смалявіцкі	69554		Смалявічскі раён*
Мінская	Старадарожскі	71135		Старадарожскі раён
Мінская	Стаўбцоўскі	70752		Стаўбцоўскі раён
Мінская	Уздзенскі	70561		Уздзенскі раён
Мінская	Чэрвеньскі	59751		Чэрвеньскі раён
